name,place,sum_views,pref,geometry,address
安倍晋三,長門市,8012886.0,山口県,POINT (131.1821587 34.3708941),"長門市, 山口県, 日本"
安倍晋三,加古川市,8012886.0,兵庫県,POINT (134.8498955 34.786771),"加古川市, 兵庫県, 日本"
源頼朝,鴨川市,5507028.0,千葉県,POINT (140.098692 35.1140584),"鴨川市, 千葉県, 日本"
上島竜兵,丹波市,4011846.0,兵庫県,POINT (135.0363959 35.1771828),"丹波市, 兵庫県, 日本"
源頼家,鎌倉市,3739391.0,神奈川県,POINT (139.54442 35.329564),"鎌倉市, 神奈川県, 日本"
大谷翔平,横浜市,3141847.0,神奈川県,POINT (139.636768 35.444991),"横浜市, 神奈川県, 231-0017, 日本"
大谷翔平,奥州市,3141847.0,岩手県,POINT (141.1392382 39.144275),"奥州市, 岩手県, 日本"
岸信夫,田布施町,2773107.0,山口県,POINT (132.0411783 33.9548389),"田布施町, 熊毛郡, 山口県, 日本"
東谷義和,伊丹市,2725103.0,兵庫県,POINT (135.407994 34.786159),"伊丹市, 兵庫県, 日本"
松本若菜,米子市,2707188.0,鳥取県,POINT (133.331459 35.4276408),"米子市, 鳥取県, 日本"
村上宗隆,熊本市,2502384.0,熊本県,POINT (130.7333361 32.7833323),"熊本市, 熊本県, 860-8601, 日本"
渡辺裕之,水戸市,2488362.0,茨城県,POINT (140.4713933 36.3657792),"水戸市, 茨城県, 日本"
アントニオ猪木,出水市,2455996.0,鹿児島県,POINT (130.3531204 32.0903005),"出水市, 鹿児島県, 日本"
なにわ男子,佐世保市,2298216.0,長崎県,POINT (129.7152872 33.1799965),"佐世保市, 長崎県, 日本"
池田エライザ,田川市,2279219.0,福岡県,POINT (130.8063352 33.6387807),"田川市, 福岡県, 日本"
井上尚弥,座間市,2254761.0,神奈川県,POINT (139.420453 35.499205),"座間市, 神奈川県, 日本"
藤井風,里庄町,2241267.0,岡山県,POINT (133.5570068 34.5135567),"里庄町, 浅口郡, 岡山県, 日本"
西村博之,相模原市,2143527.0,神奈川県,POINT (139.236215 35.56559),"相模原市, 神奈川県, 日本"
菅田将暉,高知市,2138387.0,高知県,POINT (133.5394221 33.5680384),"高知市, 高知県, 780-8571, 日本"
菅田将暉,箕面市,2138387.0,大阪府,POINT (135.4858758388889 34.83143885),"エリーター萱野, ２−１１−９, 国道171号, 萱野二丁目, 箕面市, 大阪府, 563-0014, 日本"
岸田文雄,高松市,2122043.0,香川県,POINT (134.0465338 34.3425592),"高松市, 香川県, 日本"
岸田文雄,広島市,2122043.0,広島県,POINT (132.4518156 34.3916058),"広島市, 広島県, 日本"
上白石萌音,鹿児島市,2078814.0,鹿児島県,POINT (130.543387 31.5841689),"鹿児島市, 鹿児島県, 892-8677, 日本"
高橋文哉,春日部市,1954322.0,埼玉県,POINT (139.752019 35.9757957),"春日部市, 埼玉県, 日本"
ヒコロヒー,松山市,1933420.0,愛媛県,POINT (132.7653521 33.8395188),"松山市, 愛媛県, 日本"
佐々木朗希,陸前高田市,1912743.0,岩手県,POINT (141.6331219 39.0204051),"陸前高田市, 岩手県, 日本"
源義仲,嵐山町,1898402.0,埼玉県,POINT (139.320248 36.0564172),"嵐山町, 比企郡, 埼玉県, 355-0221, 日本"
平野歩夢,村上市,1856603.0,新潟県,POINT (139.5751176 38.3144518),"村上市, 新潟県, 日本"
平野歩夢,小国町,1856603.0,山形県,POINT (139.7431889 38.0616639),"小国町, 西置賜郡, 山形県, 999-1363, 日本"
石原慎太郎,小樽市,1840448.0,北海道,POINT (140.9946021 43.1906806),"小樽市, 後志総合振興局, 北海道, 日本"
石原慎太郎,神戸市,1840448.0,兵庫県,POINT (135.1943764 34.6932379),"神戸市, 兵庫県, 日本"
石原慎太郎,逗子市,1840448.0,神奈川県,POINT (139.5838447 35.3040672),"逗子市, 神奈川県, 日本"
ダルビッシュ有,羽曳野市,1830874.0,大阪府,POINT (135.599097 34.54158),"羽曳野市, 大阪府, 日本"
宮澤エマ,福山市,1828633.0,広島県,POINT (133.3623097 34.4857039),"福山市, 広島県, 日本"
畠山重忠,深谷市,1765975.0,埼玉県,POINT (139.2816997 36.1974016),"深谷市, 埼玉県, 366-0824, 日本"
清原果耶,大阪市,1740733.0,大阪府,POINT (135.5014539 34.6937569),"大阪市, 大阪府, 日本"
中森明菜,清瀬市,1728478.0,東京都,POINT (139.531253 35.785483),"清瀬市, 東京都, 日本"
中森明菜,志木市,1728478.0,埼玉県,POINT (139.5800351 35.8365194),"志木市, 埼玉県, 日本"
岸信介,岡山市,1723908.0,岡山県,POINT (133.9194595 34.6553944),"岡山市, 岡山県, 日本"
イチロー,豊山町,1700634.0,愛知県,POINT (136.9165 35.256433),"豊山町, 西春日井郡, 愛知県, 480-0202, 日本"
川口春奈,五島市,1684265.0,長崎県,POINT (128.8408104 32.6951424),"五島市, 長崎県, 日本"
柴咲コウ,豊島区,1677234.0,東京都,POINT (139.714222 35.736156),"豊島区, 東京都, 日本"
竹内結子,さいたま市,1671428.0,埼玉県,POINT (139.6457957 35.8616402),"さいたま市, 埼玉県, 日本"
竹内結子,鳥取市,1671428.0,鳥取県,POINT (134.2219282 35.4943948),"鳥取市, 鳥取県, 日本"
田中聖,柏市,1664951.0,千葉県,POINT (139.9756876 35.8676218),"柏市, 千葉県, 日本"
羽生結弦,仙台市,1609259.0,宮城県,POINT (140.8691498 38.2677554),"仙台市, 宮城県, 日本"
三浦春馬,土浦市,1599291.0,茨城県,POINT (140.2045934 36.0786297),"土浦市, 茨城県, 日本"
堂安律,尼崎市,1566701.0,兵庫県,POINT (135.412989 34.7288995),"尼崎市, 兵庫県, 日本"
小松菜奈,北杜市,1565965.0,山梨県,POINT (138.392164 35.837156),"北杜市, 山梨県, 日本"
森保一,長崎市,1561916.0,長崎県,POINT (129.8781002 32.7501611),"長崎市, 長崎県, 850-8685, 日本"
本田圭佑,八代市,1546265.0,熊本県,POINT (130.6020211 32.5081425),"八代市, 熊本県, 日本"
本田圭佑,摂津市,1546265.0,大阪府,POINT (135.553584 34.782761),"摂津市, 大阪府, 日本"
松村北斗,島田市,1525928.0,静岡県,POINT (138.146599 34.879912),"島田市, 静岡県, 日本"
岸井ゆきの,秦野市,1504356.0,神奈川県,POINT (139.2420729 35.3746619),"秦野市, 神奈川県, 日本"
藤澤五月,北見市,1495203.0,北海道,POINT (143.8946351 43.8029391),"北見市, オホーツク総合振興局, 北海道, 日本"
西島秀俊,八王子市,1462949.0,東京都,POINT (139.283071 35.660175),"八王子市, 東京都, 日本"
宮沢氷魚,甲府市,1461242.0,山梨県,POINT (138.5710441 35.6652481),"甲府市, 山梨県, 日本"
伊東純也,横須賀市,1457067.0,神奈川県,POINT (139.6653829 35.2730564),"横須賀市, 神奈川県, 238-8550, 日本"
徳川家康,静岡市,1435312.0,静岡県,POINT (138.38299 34.979149),"静岡市, 静岡県, 420-8602, 日本"
津田梅子,佐倉市,1435130.0,千葉県,POINT (140.2240158 35.7234619),"佐倉市, 千葉県, 日本"
広末涼子,三豊市,1417428.0,香川県,POINT (133.7179334 34.1986856),"三豊市, 香川県, 769-1101, 日本"
広末涼子,塩尻市,1417428.0,長野県,POINT (137.952801 36.124957),"塩尻市, 長野県, 日本"
神田沙也加,世田谷区,1409810.0,東京都,POINT (139.65627 35.646096),"世田谷区, 東京都, 日本"
鈴木愛理 (歌手),岐阜市,1403575.0,岐阜県,POINT (136.7627526 35.4230949),"岐阜市, 岐阜県, 日本"
オダギリジョー,津山市,1384269.0,岡山県,POINT (134.0043355 35.0691284),"津山市, 岡山県, 日本"
木村拓哉,千葉市,1382561.0,千葉県,POINT (140.118126 35.609985),"千葉市, 千葉県, 日本"
麻生太郎,飯塚市,1377346.0,福岡県,POINT (130.6911579 33.646594),"飯塚市, 福岡県, 日本"
清野菜名,稲沢市,1361424.0,愛知県,POINT (136.758964 35.240484),"稲沢市, 愛知県, 日本"
